time,sEC,sTemp,sWet,leaf
2017/11/1 0:00,0.82,15.1,52.5,452
2017/11/1 0:10,0.82,15.1,52.4,453
2017/11/1 0:20,0.82,15.1,52.4,452
2017/11/1 0:30,0.82,15.1,52.4,452
2017/11/1 0:40,0.84,15.1,52.6,452
2017/11/1 0:50,0.83,15.1,52.4,453
2017/11/1 1:00,0.82,15.1,52.4,452
2017/11/1 1:10,0.82,15.2,52.4,453
2017/11/1 1:20,0.82,15.2,52.4,453
2017/11/1 1:30,0.82,15.3,52.4,453
2017/11/1 1:40,0.82,15.3,52.4,452
2017/11/1 1:50,0.82,15.3,52.3,453
2017/11/1 2:00,0.82,15.4,52.3,452
2017/11/1 2:10,0.84,15.4,52.3,452
2017/11/1 2:20,0.83,15.4,52.5,452
2017/11/1 2:30,0.83,15.5,52.3,452
2017/11/1 2:40,0.83,15.5,52.3,453
2017/11/1 2:50,0.82,15.5,52.5,452
2017/11/1 3:00,0.82,15.6,52.2,452
2017/11/1 3:10,0.84,15.6,52.5,452
2017/11/1 3:20,0.82,15.6,52.2,453
2017/11/1 3:30,0.82,15.6,52.6,452
2017/11/1 3:40,0.82,15.7,52.2,452
2017/11/1 3:50,0.82,15.7,52.1,452
2017/11/1 4:00,0.83,15.8,52.1,452
2017/11/1 4:10,0.82,15.7,52.1,452
2017/11/1 4:20,0.82,15.7,52.2,452
2017/11/1 4:30,0.82,15.6,52.2,452
2017/11/1 4:40,0.82,15.6,52.2,452
2017/11/1 4:50,0.82,15.6,52.2,452
2017/11/1 5:00,0.83,15.6,52.2,452
2017/11/1 5:10,0.83,15.6,52.2,452
2017/11/1 5:20,0.82,15.7,52.5,452
2017/11/1 5:30,0.83,15.8,52.1,453
2017/11/1 5:40,0.82,15.9,52.1,452
2017/11/1 5:50,0.83,16,52,452
2017/11/1 6:00,0.83,16,52,450
2017/11/1 6:10,0.82,16.1,52.2,450
2017/11/1 6:20,0.82,16.3,51.9,450
2017/11/1 6:30,0.82,16.3,51.8,451
2017/11/1 6:40,0.82,16.4,51.8,450
2017/11/1 6:50,0.83,16.5,52,451
2017/11/1 7:00,0.82,16.6,51.9,450
2017/11/1 7:10,0.83,16.9,51.5,451
2017/11/1 7:20,0.82,17.2,51.7,449
2017/11/1 7:30,0.82,17.5,51.4,448
2017/11/1 7:40,0.83,17.8,51.1,448
2017/11/1 7:50,0.82,18,51.2,446
2017/11/1 8:00,0.82,18.3,50.8,446
2017/11/1 8:10,0.82,18.5,50.8,447
2017/11/1 8:20,0.82,18.7,50.7,446
2017/11/1 8:30,0.84,18.9,50.6,446
2017/11/1 8:40,0.82,19.1,50.6,445
2017/11/1 8:50,0.82,19.3,50.8,444
2017/11/1 9:00,0.82,19.5,50.3,444
2017/11/1 9:10,0.82,19.6,50.2,444
2017/11/1 9:20,0.83,19.8,50.1,444
2017/11/1 9:30,0.82,19.9,50,444
2017/11/1 9:40,0.82,20,50,443
2017/11/1 9:50,0.82,20.2,49.9,442
2017/11/1 10:00,0.82,20.3,50,442
2017/11/1 10:10,0.83,20.3,49.8,442
2017/11/1 10:20,0.82,20.3,49.8,442
2017/11/1 10:30,0.82,20.3,49.8,443
2017/11/1 10:40,0.82,20.3,49.8,443
2017/11/1 10:50,0.84,20.3,49.8,443
2017/11/1 11:00,0.82,20.4,49.8,442
2017/11/1 11:10,0.82,20.4,49.8,442
2017/11/1 11:20,0.82,20.5,49.8,443
2017/11/1 11:30,0.82,20.5,49.8,443
2017/11/1 11:40,0.82,20.5,50.1,442
2017/11/1 11:50,0.82,20.6,49.7,442
2017/11/1 12:00,0.82,20.6,49.7,442
2017/11/1 12:10,0.82,20.7,50,442
2017/11/1 12:20,0.82,20.7,49.7,442
2017/11/1 12:30,0.84,20.8,49.6,443
2017/11/1 12:40,0.82,20.8,50,442
2017/11/1 12:50,0.82,20.8,49.6,443
2017/11/1 13:00,0.82,20.9,49.6,442
2017/11/1 13:10,0.82,20.9,49.6,443
2017/11/1 13:20,0.82,20.9,49.7,442
2017/11/1 13:30,0.82,20.9,49.7,442
2017/11/1 13:40,0.83,20.9,49.6,442
2017/11/1 13:50,0.82,20.9,50,443
2017/11/1 14:00,0.84,20.9,49.6,442
2017/11/1 14:10,0.82,20.8,49.6,443
2017/11/1 14:20,0.82,20.6,49.7,442
2017/11/1 14:30,0.82,20.5,49.7,443
2017/11/1 14:40,0.82,20.5,49.8,442
2017/11/1 14:50,0.84,20.4,49.8,443
2017/11/1 15:00,0.82,20.3,49.9,442
2017/11/1 15:10,0.83,20,50,444
2017/11/1 15:20,0.83,19.7,50.1,445
2017/11/1 15:30,0.82,19.5,50.5,444
2017/11/1 15:40,0.83,19.2,50.4,444
2017/11/1 15:50,0.82,19,50.5,446
2017/11/1 16:00,0.82,18.7,50.7,447
2017/11/1 16:10,0.82,18.7,50.7,446
2017/11/1 16:20,0.83,18.6,50.7,446
2017/11/1 16:30,0.82,18.5,50.7,446
2017/11/1 16:40,0.82,18.5,50.8,446
2017/11/1 16:50,0.82,18.5,50.8,447
2017/11/1 17:00,0.83,18.4,50.8,446
2017/11/1 17:10,0.82,18.3,51.3,446
2017/11/1 17:20,0.82,18.2,50.9,447
2017/11/1 17:30,0.82,18,51,447
2017/11/1 17:40,0.82,17.9,51,448
2017/11/1 17:50,0.82,17.8,51.4,448
2017/11/1 18:00,0.82,17.7,51.2,448
2017/11/1 18:10,0.82,17.6,51.2,448
2017/11/1 18:20,0.82,17.6,51.2,449
2017/11/1 18:30,0.83,17.5,51.4,448
2017/11/1 18:40,0.82,17.5,51.3,448
2017/11/1 18:50,0.82,17.4,51.3,448
2017/11/1 19:00,0.82,17.4,51.3,449
2017/11/1 19:10,0.82,17.3,51.5,448
2017/11/1 19:20,0.82,17.2,51.4,449
2017/11/1 19:30,0.82,17.1,51.4,448
2017/11/1 19:40,0.82,17,51.5,448
2017/11/1 19:50,0.82,17,51.8,450
2017/11/1 20:00,0.83,16.9,51.5,450
2017/11/1 20:10,0.84,16.8,52,451
2017/11/1 20:20,0.83,16.8,51.6,451
2017/11/1 20:30,0.83,16.7,51.7,450
2017/11/1 20:40,0.82,16.6,51.7,451
2017/11/1 20:50,0.84,16.6,51.7,450
2017/11/1 21:00,0.82,16.5,51.8,450
2017/11/1 21:10,0.82,16.5,51.9,450
2017/11/1 21:20,0.82,16.5,51.8,451
2017/11/1 21:30,0.84,16.5,51.8,450
2017/11/1 21:40,0.83,16.5,51.8,450
2017/11/1 21:50,0.83,16.5,51.8,450
2017/11/1 22:00,0.82,16.5,51.8,450
2017/11/1 22:10,0.82,16.6,51.7,450
2017/11/1 22:20,0.82,16.7,51.7,451
2017/11/1 22:30,0.82,16.8,52,451
2017/11/1 22:40,0.83,16.8,51.6,450
2017/11/1 22:50,0.82,16.9,51.7,450
2017/11/1 23:00,0.82,17,51.5,449
2017/11/1 23:10,0.82,16.9,51.6,451
2017/11/1 23:20,0.82,16.8,51.6,450
2017/11/1 23:30,0.82,16.6,52,450
2017/11/1 23:40,0.83,16.5,51.7,450
2017/11/1 23:50,0.82,16.4,51.8,451
2017/11/2 0:00,0.83,16.3,51.8,450
2017/11/2 0:10,0.82,16.2,51.9,450
2017/11/2 0:20,0.82,16.2,51.9,451
2017/11/2 0:30,0.84,16.1,52,451
2017/11/2 0:40,0.82,16,52,450
2017/11/2 0:50,0.84,16,52,452
2017/11/2 1:00,0.83,15.9,52,452
2017/11/2 1:10,0.82,15.9,52.1,453
2017/11/2 1:20,0.82,15.9,52.1,452
2017/11/2 1:30,0.83,15.9,52.1,452
2017/11/2 1:40,0.82,15.8,52.4,452
2017/11/2 1:50,0.82,15.8,52.1,452
2017/11/2 2:00,0.82,15.8,52.1,452
2017/11/2 2:10,0.82,15.8,52.1,452
2017/11/2 2:20,0.82,15.8,52.1,452
2017/11/2 2:30,0.82,15.9,52.1,452
2017/11/2 2:40,0.82,15.9,52.5,453
2017/11/2 2:50,0.82,15.9,52.1,452
2017/11/2 3:00,0.82,15.9,52,452
2017/11/2 3:10,0.84,15.8,52.4,452
2017/11/2 3:20,0.82,15.8,52.1,452
2017/11/2 3:30,0.82,15.7,52.1,452
2017/11/2 3:40,0.82,15.7,52.2,453
2017/11/2 3:50,0.83,15.6,52.2,453
2017/11/2 4:00,0.82,15.6,52.2,453
2017/11/2 4:10,0.84,15.6,52.2,452
2017/11/2 4:20,0.82,15.6,52.2,452
2017/11/2 4:30,0.82,15.6,52.6,452
2017/11/2 4:40,0.82,15.6,52.2,453
2017/11/2 4:50,0.83,15.6,52.2,452
2017/11/2 5:00,0.82,15.6,52.3,452
2017/11/2 5:10,0.82,15.7,52.2,452
2017/11/2 5:20,0.83,15.8,52.1,452
2017/11/2 5:30,0.83,15.9,52,452
2017/11/2 5:40,0.82,16,52,450
2017/11/2 5:50,0.82,16.2,51.9,450
2017/11/2 6:00,0.82,16.3,51.8,450
2017/11/2 6:10,0.82,16.5,52.1,450
2017/11/2 6:20,0.82,16.8,51.6,451
2017/11/2 6:30,0.82,17,51.9,450
2017/11/2 6:40,0.82,17.2,51.8,449
2017/11/2 6:50,0.82,17.4,51.3,449
2017/11/2 7:00,0.82,17.6,51.2,448
2017/11/2 7:10,0.82,18,51,448
2017/11/2 7:20,0.82,18.3,50.9,446
2017/11/2 7:30,0.82,18.5,50.7,446
2017/11/2 7:40,0.83,18.9,50.6,446
2017/11/2 7:50,0.82,19.2,50.6,444
2017/11/2 8:00,0.83,19.5,50.3,445
2017/11/2 8:10,0.82,19.6,50.2,445
2017/11/2 8:20,0.82,19.8,50.1,444
2017/11/2 8:30,0.82,19.9,50,444
2017/11/2 8:40,0.83,20.1,50,442
2017/11/2 8:50,0.84,20.2,50,442
2017/11/2 9:00,0.82,20.4,49.8,442
2017/11/2 9:10,0.82,20.5,49.8,442
2017/11/2 9:20,0.82,20.6,49.7,443
2017/11/2 9:30,0.83,20.7,49.7,442
2017/11/2 9:40,0.82,20.8,49.6,442
2017/11/2 9:50,0.82,20.9,49.5,443
2017/11/2 10:00,0.82,21,49.5,440
2017/11/2 10:10,0.83,21.1,49.4,440
2017/11/2 10:20,0.83,21.2,49.6,440
2017/11/2 10:30,0.82,21.4,49.3,440
2017/11/2 10:40,0.84,21.5,49.3,440
2017/11/2 10:50,0.82,21.6,49.2,441
2017/11/2 11:00,0.83,21.7,49.2,440
2017/11/2 11:10,0.83,21.8,49.1,440
2017/11/2 11:20,0.84,21.9,49,440
2017/11/2 11:30,0.82,22,49,439
2017/11/2 11:40,0.82,22.1,49,438
2017/11/2 11:50,0.82,22.2,48.9,438
2017/11/2 12:00,0.83,22.3,48.8,438
2017/11/2 12:10,0.83,22.3,48.9,438
2017/11/2 12:20,0.82,22.2,48.9,438
